"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-401-01","Backend: Design Jint Wrapper Service and Sandbox Options","Analyze Jint library capabilities and design a service (`ITransformationService`) that encapsulates the engine. Define a configuration class (`JintSandboxOptions`) to hold constraint values for timeout, memory, statements, and CLR access.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2024-06-04","4.2","2","backend,architecture,jint,security","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","US-401","","C#,.NET 8 Architecture","Medium","Medium","Interface contract for `ITransformationService` is defined. A POCO class for sandbox options is created. The design is documented in a brief technical note.","Code reviewed; Design document approved; Interfaces defined.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","Security Lead","","Design review.","No deployment, foundational design task.","Protects the core application from instability and security threats posed by user-defined code."
"TASK-401-02","Backend: Implement Jint Engine with Configurable Security Constraints","Implement a factory or service that instantiates a Jint `Engine` with options for `MaxStatements`, `MemoryLimit`, `TimeoutInterval`, and `AllowClr(false)`. These options must be loaded from `appsettings.json` via the Options pattern.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-06-06","8.7","3","backend,jint,security,configuration","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","US-401","TASK-401-01","C#,.NET 8,Jint","High","High","The Jint Engine is instantiated with options reflecting the values in `appsettings.json`. The `AllowClr` option is explicitly set to `false` and is not configurable. The service can be injected via DI.","Code reviewed with security focus; Unit tests passing; Configuration options documented.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Unit tests verifying options are applied.","Requires `appsettings.json` update.","Protects the core application from instability and security threats posed by user-defined code."
"TASK-401-03","Backend: Implement Exception Handling for Constraint Violations","Wrap Jint execution calls in try-catch blocks to specifically handle `StatementsCountOverflowException`, `MemoryLimitExceededException`, and `OperationCanceledException` (for timeout). These exceptions should be re-thrown as custom, domain-specific exceptions.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-06-07","6","2","backend,jint,error-handling","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","US-401","TASK-401-02","C#,Jint","Medium","Low","A Jint `MemoryLimitExceededException` is caught and re-thrown as `SandboxMemoryException`. A Jint `StatementsCountOverflowException` is caught and re-thrown as `SandboxStatementException`. An `OperationCanceledException` is caught and re-thrown as `SandboxTimeoutException`.","Code reviewed; Unit tests for each exception type are passing.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Unit tests simulating Jint exceptions.","","Provides clear, structured error information for sandbox violations."
"TASK-401-04","QA: Create Malicious Unit Tests for Sandbox Constraints","Develop a suite of unit tests that intentionally try to violate each configured sandbox constraint. These tests will serve as a security regression suite.","Task","Sprint Backlog","Critical","qa.engineer@company.com","product.owner@company.com","2024-06-10","12","5","qa,security,testing,jint","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","US-401","TASK-401-03","C#,xUnit,Jint","High","High","A test that runs an infinite loop correctly throws `SandboxTimeoutException`. A test that allocates a large array correctly throws `SandboxMemoryException`. A test that runs a long loop correctly throws `SandboxStatementException`. A test that attempts to access `System.IO.File` throws a `Jint.Runtime.JavaScriptException` containing a `SecurityException`.","All tests are passing in the CI pipeline; Test cases reviewed for security coverage.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","Backend Developer, Security Lead","","Security-focused regression testing.","These tests are critical for release gating.","Validates the primary security controls of the transformation engine."
"TASK-405-01","Backend: Design Audit Log Entity and Storage","Design the entity for audit logs, including fields for timestamp, user ID, source IP, action type, entity type, entity ID, and change details (e.g., a JSON blob). Decide on the storage mechanism (e.g., a separate `AuditLogs` table in SQLite).","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2024-06-05","6","3","backend,database,security,compliance","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Security, Compliance, and Observability","EPIC-003","Data Transformation Engine","US-405","","C#,EF Core 8,Security Architecture","Medium","High","The `AuditLog` entity is defined in C#. The storage strategy is chosen and documented. An EF Core migration (if applicable) is generated.","Design review with compliance expert completed; EF Core migration created and tested.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","Compliance Officer","","Design review against SOC 2 / ISO 27001 objectives.","Requires a database migration.","Provides the foundational data structure for a compliant audit trail."
"TASK-405-02","Backend: Implement Audit Logging Service","Create an `IAuditLogger` service and its implementation that writes `AuditLog` records to the chosen persistent storage. The service should be injectable and handle the formatting of audit events.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-06-07","8.3","3","backend,security,logging","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Security, Compliance, and Observability","EPIC-003","Data Transformation Engine","US-405","TASK-405-01","C#,.NET 8,Serilog","Medium","Medium","The service can successfully write an audit log entry to the database. The service is registered for dependency injection. The logging operation is asynchronous.","Code reviewed; Unit tests passing; Service registered in DI container.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Unit tests to verify service can write to an in-memory database.","","Provides a reusable service for creating audit log entries throughout the application."
"TASK-043-01","Backend: Design Script and Version Entities","Design the EF Core entities for `TransformationScript` (parent) and `TransformationScriptVersion` (child). The parent will track the name and active version, while the child will hold the script content and metadata.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2024-06-06","6","3","backend,database,architecture,ef-core","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Transformation Script Management UI","EPIC-002","Data Transformation Engine","US-043","","C#,EF Core 8","Medium","Medium","Entity classes are defined with properties and relationships. A one-to-many relationship is established between Script and Version. An EF Core migration is successfully generated from the models.","Code reviewed; EF Core migration generated and tested.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Successful migration application on a test database.","Requires a database migration.","Provides the data structure for storing and versioning transformation scripts."
"TASK-043-02","Backend: Implement POST API for Script Creation","Create the `POST /api/v1/transformations` endpoint. The service logic must create both a `TransformationScript` and its initial `TransformationScriptVersion` (v1) within a single transaction.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-06-11","8.3","3","backend,api,ef-core","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Transformation Script Management UI","EPIC-002","Data Transformation Engine","US-043","TASK-043-01,TASK-405-02","C#,ASP.NET Core,EF Core 8","Medium","Medium","A POST request with a valid name and content returns 201 Created. The database contains one `TransformationScript` and one `TransformationScriptVersion` record after the call. The parent script's `activeVersionId` points to the new version. The operation is atomic; if part of it fails, no records are created.","Code reviewed; Integration tests passing; API documented in OpenAPI spec.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Integration tests covering success and transactional failure.","","Provides the API for creating new transformation scripts."
"TASK-405-03","Backend: Secure Transformation API with RBAC","Apply the `[Authorize(Roles = ""Administrator"")]` attribute to the `TransformationsController` class or to individual CUD actions within it to restrict access.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-06-11","2","1","backend,security,rbac,api","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Security, Compliance, and Observability","EPIC-003","Data Transformation Engine","US-405","TASK-043-02","C#,ASP.NET Core Security","Low","Low","The attribute is correctly applied to all CUD endpoints. Read endpoints (GET) may remain accessible to other roles if required by future stories, but CUD must be admin-only.","Code reviewed; Integration tests for RBAC are passing.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Integration tests attempting to access endpoints with non-admin tokens.","","Enforces the principle of least privilege for script management."
"TASK-405-04","Backend: Integrate Auditing into Transformation Service","Modify the `TransformationService` to call the `IAuditLogger` after successfully completing a Create, Update, or Delete operation. The audit call must be part of the same transaction as the data modification.","Task","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-06-12","8","3","backend,security,auditing","Sprint 1","Establish the secure, auditable backend foundation for the transformation engine and deliver the basic UI for creating scripts.","Security, Compliance, and Observability","EPIC-003","Data Transformation Engine","US-405","TASK-405-02,TASK-043-02","C#,EF Core 8","Medium","Medium","Creating a script logs a 'ScriptCreated' event. Updating a script logs a 'ScriptUpdated' event with before/after details if possible. Deleting a script logs a 'ScriptDeleted' event. If the database operation fails, no audit log is created.","Code reviewed; Integration tests passing.","2024-05-24T09:00:00Z","2024-05-24T09:00:00Z","2024-06-03","2024-06-14","100%","","","Integration tests to verify audit log creation for each CUD operation.","","Provides a clear, unalterable record of all changes to business logic."
