"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-DTE-001","Design ITransformationService and Data Contracts","Define the C# interface `ITransformationService` in the Application layer. Define input and output DTOs/models for passing data to and from the service.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2025-07-10","4.2","1","backend,architecture,design","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-001","",".NET,C#,Clean Architecture","Low","Low","An `ITransformationService.cs` interface file is created with a method like `Task<JsonNode> ExecuteAsync(string script, JsonNode data)`. Interface is placed in the `Application` project. Code is peer-reviewed and approved.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","N/A","N/A","Code review","N/A","Establishes the core component for executing JavaScript transformations."
"TASK-DTE-002","Implement JintTransformationService Core Logic","Create the `JintTransformationService` in the Infrastructure layer. Implement the `ExecuteAsync` method to instantiate a Jint engine, set the input JsonNode as a global variable, execute the script, and return the result.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2025-07-12","10.3","3","backend,jint,implementation","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-001","TASK-DTE-001",".NET,Jint,System.Text.Json","Medium","Low","Service correctly instantiates `Jint.Engine`. A `JsonNode` from .NET is correctly exposed as a JavaScript object. The script's return value is correctly retrieved.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","N/A","N/A","Unit tests and code review","N/A","Establishes the core component for executing JavaScript transformations."
"TASK-DTE-003","Develop Unit Tests for JintTransformationService","Create a suite of xUnit tests to validate the core functionality of the `JintTransformationService`, covering adding, removing, and modifying properties on a JSON object.","Task","Sprint Backlog","High","qa.engineer1@company.com","product.owner@company.com","2025-07-15","8.5","2","qa,testing,backend","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-001","TASK-DTE-002",".NET,xUnit,Moq","Low","Low","Test cases for add, remove, and modify properties pass. Code coverage exceeds 80%.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","Backend Developer","N/A","CI build passes","N/A","Ensures the reliability of the core transformation logic."
"TASK-DTE-004","Implement Configuration Model for Sandbox Options","Create a strongly-typed C# class for sandbox settings (Timeout, MemoryLimit, etc.) and bind it to a new section in `appsettings.json` using the .NET Options pattern.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2025-07-11","4.2","1","backend,configuration,security","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-002","",".NET,ASP.NET Core","Low","Low","A `SandboxSettings.cs` class is created. The class is registered in `Program.cs`. A new section is added to `appsettings.json`.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","N/A","N/A","Code review","Requires update to production configuration files.","Protects the system from denial-of-service attacks and malicious code execution."
"TASK-DTE-005","Integrate Sandbox Options into Jint Engine Configuration","Update `JintTransformationService` to accept the `SandboxSettings` via dependency injection. Use these settings to configure the `Jint.Engine` options for each execution, including disabling CLR access.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2025-07-16","8.2","3","backend,jint,security","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-002","TASK-DTE-002,TASK-DTE-004",".NET,Jint","Medium","Medium","Service constructor is updated to receive `IOptions<SandboxSettings>`. The `Engine` instantiation is updated. The `options.TimeoutInterval`, `options.MemoryLimit`, etc. are set from the settings object. CLR access is disabled.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","Security Lead","N/A","Unit tests and security code review","N/A","Protects the system from denial-of-service attacks and malicious code execution."
"TASK-DTE-006","Develop Unit Tests for Sandbox Constraints","Create a suite of xUnit tests, each designed to trigger a specific sandbox violation and assert that the correct exception is thrown by the service.","Task","Sprint Backlog","Critical","qa.engineer1@company.com","product.owner@company.com","2025-07-18","10.3","3","qa,testing,security","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-002","TASK-DTE-005",".NET,xUnit","Medium","Low","A test with a `while(true){}` script asserts that a `Jint.Runtime.TimeoutException` is thrown. A test for memory limit asserts `MemoryLimitExceededException`. A test for CLR access asserts `JintException` or `SecurityException`.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","Backend Developer","N/A","CI build passes","N/A","Ensures the reliability and security of the sandbox implementation."
"TASK-DTE-007","Create Security Audit Logging Service","Implement a dedicated service, e.g., `ISecurityAuditLogger`, to handle the formatting and writing of security-related events using Serilog.","Task","Sprint Backlog","High","backend.dev2@company.com","product.owner@company.com","2025-07-15","6","2","backend,logging,security","Sprint 1","Establish the core secure transformation engine backend and its foundational security model.","Core Transformation Engine & Sandbox","EPIC-001","Data Transformation Engine","WI-003","",".NET,Serilog","Low","Low","An interface `ISecurityAuditLogger.cs` is defined. An implementation `SerilogSecurityAuditLogger.cs` is created. The service writes structured logs with specific properties for event type, script ID, and user context.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-08T09:00:00Z","2025-07-08T09:00:00Z","2025-07-08","2025-07-19","80%","N/A","N/A","Unit tests","N/A","Provides security and operational visibility into misuse or misconfiguration."
"TASK-DTE-016","Implement EF Core Entities and DbContext for Scripts","Create `TransformationScript.cs` and `TransformationScriptVersion.cs` entity classes. Define properties and relationships (one-to-many, FKs). Add `DbSet` properties to `AppDbContext`.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2025-07-24","6","2","backend,database,efcore","Sprint 2","Implement backend for script management and data handling pipeline.","Transformation Script Management & Versioning","EPIC-002","Data Transformation Engine","WI-006","",".NET,EF Core","Low","Low","Entities are created with all required properties. Relationships are correctly configured. The project builds successfully.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-07-22T09:00:00Z","2025-07-22T09:00:00Z","2025-07-22","2025-08-02","80%","N/A","N/A","Code review","Requires database migration.","Establishes the data foundation for storing and versioning all transformation logic."
"TASK-DTE-034","Research and POC for Monaco Editor Integration","Evaluate the `@monaco-editor/react` package. Create a small proof-of-concept to understand its API, configuration options, and potential impact on application bundle size.","Task","Sprint Backlog","Critical","frontend.lead@company.com","product.owner@company.com","2025-08-07","8.3","3","frontend,research,poc,editor","Sprint 3","Develop the core frontend UI for script management and previewing.","Transformation Script Management & Versioning","EPIC-002","Data Transformation Engine","WI-012","","React,Vite,Monaco Editor","Medium","High","A simple React component successfully renders the Monaco editor. The POC demonstrates how to set the language to JavaScript. The POC demonstrates two-way data binding. Bundle size impact is measured and documented.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-08-05T09:00:00Z","2025-08-05T09:00:00Z","2025-08-05","2025-08-16","80%","N/A","N/A","Demo and code review","N/A","Provides a professional-grade editing experience, improving administrator efficiency and reducing errors."
"TASK-DTE-038","Develop Version History Component","Create a React component (e.g., a modal or drawer) that fetches and displays the version history for a script from the `GET .../{id}/versions` API. The list should show version number, timestamp, and user.","Task","Sprint Backlog","High","frontend.dev1@company.com","product.owner@company.com","2025-08-22","10.3","3","frontend,react,versioning","Sprint 4","Enhance UI with versioning and complete the script preview workflow.","Transformation Script Management & Versioning","EPIC-002","Data Transformation Engine","WI-013","TASK-DTE-025,TASK-DTE-035","React,MUI","Medium","Low","The component correctly fetches and renders the list of versions. It includes checkboxes for selection. It includes a 'Compare' button, disabled unless exactly two versions are checked. It includes a 'Revert' button on each historical version.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2025-08-19T09:00:00Z","2025-08-19T09:00:00Z","2025-08-19","2025-08-30","80%","Backend team","N/A","E2E tests","N/A","Provides a safety net for administrators, allowing them to audit changes and quickly recover from mistakes."
